                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5192,                 2.0756,                 1.3218,                0.70479,                0.25259,                0.35388,                0.21892,                 1.3692,                 1.9414,                 1.1935,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.4075,                 1.4624,                 1.2448,                 0.4804,                0.44818,                0.43017,                0.24323,                 1.4471,                 1.4509,                  1.257,             0.00082564,             0.00082564,             0.00082564
                      3,                 1.3953,                 1.3706,                 1.2451,                 0.4553,                 0.4365,                0.40862,                0.24279,                 1.4626,                 1.4878,                 1.2623,               0.001235,               0.001235,               0.001235
                      4,                  1.404,                 1.3269,                 1.2547,                 0.5325,                0.57223,                0.53445,                0.31074,                   1.42,                 1.2747,                 1.2434,              0.0012335,              0.0012335,              0.0012335
                      5,                 1.3719,                 1.2576,                 1.2345,                0.59018,                0.50498,                0.53452,                0.31067,                 1.3337,                 1.3736,                 1.2097,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.3452,                 1.2125,                 1.2162,                0.58133,                0.51234,                0.54845,                0.31734,                 1.3518,                 1.1999,                 1.2041,               0.001228,               0.001228,               0.001228
                      7,                 1.3263,                 1.1639,                 1.2128,                0.70583,                0.54818,                0.62127,                0.36176,                 1.3409,                 1.1126,                 1.1994,              0.0012225,              0.0012225,              0.0012225
                      8,                 1.2998,                 1.1308,                 1.1948,                 0.7095,                0.56871,                0.63396,                0.38193,                 1.2832,                 1.1021,                 1.1972,               0.001217,               0.001217,               0.001217
                      9,                 1.2861,                 1.1038,                 1.1887,                0.69631,                0.56342,                0.63144,                0.38311,                 1.3006,                  1.108,                 1.1575,              0.0012115,              0.0012115,              0.0012115
                     10,                 1.2831,                 1.0678,                 1.1852,                0.65738,                0.57715,                0.62578,                 0.3667,                 1.2903,                 1.0906,                 1.1894,               0.001206,               0.001206,               0.001206
                     11,                 1.2718,                 1.0559,                 1.1786,                 0.7136,                0.58744,                0.66012,                0.39234,                 1.2699,                 1.0068,                 1.1538,              0.0012005,              0.0012005,              0.0012005
                     12,                 1.2431,                 1.0308,                 1.1754,                0.71539,                0.58132,                0.65084,                0.39304,                 1.2802,                 1.0588,                 1.1498,               0.001195,               0.001195,               0.001195
