sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,4,"Davin Cosby Jr","Alabama Crimson Tide",22,2.4,100,1.5,0.615,2,0.5,1.5,22.7,28.4,5.8,9.6,0.23,5.8,28.8,1.1,0.2,0.9,20.8,0.9,0.2,0.7,25,0.45
2,24,"Sam Walters","Alabama Crimson Tide",37,3.1,100,2.6,0.828,2.6,0.8,1.8,30.5,40.5,6.9,11.2,0.28,9.5,36.2,0.9,0.3,0.6,29.4,1.6,0.5,1.1,31.1,0.64
3,12,"Latrell Wrightsell Jr","Alabama Crimson Tide",31,6.8,100,5.8,0.853,5.3,1.9,3.4,36.6,43.6,11.8,10.9,0.29,8.1,37.4,2.7,1.2,1.5,44,2.6,0.7,1.8,28.7,0.49
4,55,"Aaron Estrada","Alabama Crimson Tide",37,7.3,100,6.3,0.86,5.6,2.1,3.6,36.8,44.7,12.2,11.8,0.29,8.5,38.7,2.9,1.2,1.8,40.4,2.7,0.9,1.8,33,0.48
5,11,"Mohamed Wague","Alabama Crimson Tide",33,2.5,100,2.2,0.867,2,0.8,1.2,37.9,44.7,9.6,15.7,0.32,12,37.3,1.1,0.5,0.6,43.2,0.9,0.3,0.6,31,0.44
6,15,"Jarin Stevenson","Alabama Crimson Tide",37,4.6,100,4.2,0.913,4,1.6,2.4,39.9,47,9.3,9.9,0.17,9.3,39,2.2,1,1.1,47.5,1.8,0.6,1.3,30.9,0.46
7,3,"Rylan Griffen","Alabama Crimson Tide",36,8.7,100,8,0.914,7,2.6,4.5,36.4,43.7,8,13.1,0.32,9.6,39.2,3.8,1.5,2.2,40.7,3.3,1,2.3,31.4,0.47
8,23,"Nick Pringle","Alabama Crimson Tide",34,4.1,100,3.8,0.929,3.3,1.4,1.9,42.5,47.3,10,12.1,0.26,10,42.1,2.3,1.1,1.2,46.8,1,0.3,0.7,32.4,0.3
9,10,"Mouhamed Dioubate","Alabama Crimson Tide",31,2.4,100,2.2,0.932,1.8,0.7,1.1,40.4,46.5,8.1,16.2,0.4,10.8,44.6,1.1,0.5,0.6,47.1,0.7,0.2,0.5,30.4,0.4
10,2,"Grant Nelson","Alabama Crimson Tide",37,8.1,100,7.7,0.953,6.7,2.8,3.9,42.2,48.6,7.7,11,0.24,9.7,42.3,4.1,2,2.1,48,2.6,0.9,1.8,33,0.39
11,1,"Mark Sears","Alabama Crimson Tide",37,9,100,9.4,1.048,7.1,3.4,3.8,47.1,55.9,11.7,11.1,0.26,8.7,45.8,3.8,2.1,1.7,55.3,3.3,1.2,2.1,37.7,0.46
