sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,31,"Chaney Johnson","Auburn Tigers",35,3.3,100,2.2,0.655,2.6,0.7,1.9,26.1,31,10.3,13.8,0.29,12.1,29.3,1.3,0.4,0.9,31.9,1.3,0.3,1,20,0.49
2,4,"Johni Broome","Auburn Tigers",35,5.9,100,4.1,0.699,4.8,1.6,3.2,33.7,36.4,11.2,6.8,0.17,4.9,34,3.6,1.4,2.2,38.4,1.3,0.3,1,20.5,0.26
3,0,"K.D. Johnson","Auburn Tigers",35,5,100,3.7,0.749,3,1,2.1,32.1,40.1,21.1,20,0.61,10.9,33.1,1.7,0.5,1.3,27.9,1.3,0.5,0.8,37.8,0.42
4,10,"Chad Baker-Mazara","Auburn Tigers",35,6.3,100,4.7,0.755,5.3,1.6,3.7,30.5,36.9,8.2,8.2,0.18,6.8,32.3,2.7,0.9,1.7,35.5,2.7,0.7,2,25.5,0.5
5,5,"Chris Moore","Auburn Tigers",34,3.3,100,2.6,0.777,2.7,0.8,1.9,30.1,38.7,10.7,9.8,0.19,9.8,31.3,1.3,0.4,0.9,27.3,1.4,0.5,1,32.7,0.53
6,12,"Denver Jones","Auburn Tigers",35,6.1,100,4.7,0.779,4.7,1.5,3.2,32.7,38.2,10.8,14.1,0.33,9.9,35.7,3.1,1,2.1,32.7,1.6,0.5,1.1,32.7,0.33
7,44,"Dylan Cardwell","Auburn Tigers",35,3,100,2.4,0.792,2.4,0.8,1.6,34.1,39.4,7.5,15.1,0.33,13.2,35.8,1.6,0.6,1,35.7,0.8,0.3,0.6,31,0.34
8,1,"Aden Holloway","Auburn Tigers",35,5.5,100,4.4,0.803,4.6,1.6,3,35,40.9,10.4,9.8,0.21,7.8,35.2,2.8,1.1,1.7,38.1,1.8,0.5,1.3,30.2,0.39
8,24,"Lior Berman","Auburn Tigers",28,2.2,100,1.8,0.803,1.9,0.6,1.3,34,41.5,8.2,6.6,0.13,3.3,34.4,1.2,0.4,0.8,30.3,0.7,0.3,0.4,40,0.38
10,2,"Jaylin Williams","Auburn Tigers",34,5.1,100,4.5,0.884,4.1,1.5,2.6,36,43.5,7.6,13.4,0.31,11,40.1,2.1,0.9,1.2,40.8,2,0.6,1.4,30.9,0.49
11,3,"Tre Donaldson","Auburn Tigers",35,4.6,100,4.6,0.988,3.5,1.5,2.1,41.5,51.6,11.7,13.6,0.35,9.3,43.2,2,0.7,1.2,37.7,1.5,0.7,0.8,46.3,0.44
