sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,12,"Matthew-Alexander Moncrieffe","Georgia Bulldogs",15,2.7,100,1.7,0.65,2.1,0.5,1.6,25,29.7,10,10,0.25,7.5,30,1.1,0.3,0.8,29.4,1,0.2,0.8,20,0.47
2,1,"Jabri Abdur-Rahim","Georgia Bulldogs",29,6,100,4.2,0.701,4.8,1.2,3.6,25.9,35.3,10.9,9.2,0.23,6.9,27.6,2.1,0.3,1.8,16.1,2.7,0.9,1.8,33.8,0.55
3,10,"RJ Sunshara","Georgia Bulldogs",16,3.4,100,2.4,0.704,2.8,0.9,1.9,33.3,38.9,13,3.7,0.11,3.7,29.6,1.6,0.6,0.9,40,1.3,0.3,0.9,25,0.44
4,11,"Justin Hill","Georgia Bulldogs",37,6.7,100,5.1,0.766,5.6,1.9,3.7,34.6,41.6,12.1,6,0.11,5.2,31.9,3,1.2,1.8,39.1,2.6,0.8,1.9,29.6,0.47
5,15,"RJ Melendez","Georgia Bulldogs",36,5.6,100,4.6,0.831,4.3,1.6,2.8,35.9,42.3,12.9,10.9,0.27,9,36.3,2.5,1,1.5,40.4,1.9,0.6,1.3,29.9,0.43
6,0,"Blue Cain","Georgia Bulldogs",37,5.3,100,4.4,0.841,4.2,1.6,2.6,37.2,45.5,14.4,6.2,0.16,4.6,35.4,2.1,0.9,1.2,41,2.1,0.7,1.4,33.3,0.5
7,3,"Noah Thomasson","Georgia Bulldogs",37,7,100,6.1,0.873,5.8,2.1,3.6,37.1,44.6,10.4,8.5,0.21,7.3,37.5,3.4,1.3,2.1,37.3,2.4,0.9,1.5,36.8,0.41
8,23,"Jalen DeLoach","Georgia Bulldogs",32,3.1,100,2.9,0.949,2.3,1,1.3,42.7,50,9.1,19.2,0.45,17.2,41.4,1.2,0.7,0.5,56.8,1.2,0.3,0.8,28.9,0.51
9,4,"Silas Demary Jr","Georgia Bulldogs",37,8.2,100,7.8,0.95,6.8,2.8,4,40.9,51.2,10.9,8.6,0.17,6.3,38.9,3.2,1.4,1.8,43.6,3.6,1.4,2.2,38.5,0.54
10,54,"Russel Tchewa","Georgia Bulldogs",36,4.5,100,4.3,0.951,4,1.6,2.4,41,49.3,4.3,8.6,0.17,5.5,40.5,2.3,1,1.4,41.7,1.7,0.7,1,40,0.42
11,5,"Frank Anselem","Georgia Bulldogs",29,1.9,100,1.8,0.964,1.4,0.6,0.8,42.9,51.2,9.1,14.5,0.38,14.5,47.3,0.8,0.4,0.4,50,0.7,0.2,0.4,35,0.48
12,13,"Dylan James","Georgia Bulldogs",22,4,100,4.2,1.045,3.5,1.5,2,42.9,50,5.7,9.1,0.19,8,44.3,1.8,1,0.8,56.4,1.7,0.5,1.2,28.9,0.49
