sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,0,"Trae Hannibal","LSU Tigers",32,5.7,100,5.8,1.017,4.6,2,2.5,44.5,53.1,10.5,11,0.26,8.3,44.2,2.3,1.3,1.1,53.3,2.2,0.8,1.4,35.2,0.49
2,12,"Hunter Dean","LSU Tigers",31,2.5,100,2.5,0.987,2,0.8,1.2,39.3,49.2,9.1,11.7,0.3,9.1,42.9,1,0.4,0.6,38.7,1,0.4,0.6,40,0.49
3,2,"Mike Williams ","LSU Tigers",33,6.2,100,6.1,0.981,4.8,2.1,2.8,42.5,52.5,14.1,10.7,0.24,6.8,40.8,2.3,1.1,1.2,48,2.6,1,1.6,37.6,0.53
4,20,"Derek Fountain","LSU Tigers",33,4.1,100,3.9,0.956,3.4,1.4,2,40.5,52.7,11.8,7.4,0.17,5.9,39,1.5,0.5,0.9,37.5,1.9,0.8,1.1,42.9,0.57
5,3,"Jalen Cook","LSU Tigers",13,7.8,100,7.2,0.922,6,2.6,3.4,43.6,53.2,16.7,6.9,0.18,4.9,39.2,3,1.5,1.5,48.7,3,1.2,1.8,38.5,0.5
6,15,"Tyrell Ward","LSU Tigers",31,6.4,100,5.6,0.874,5.2,1.9,3.3,37,44.4,9.5,11.1,0.27,8.5,38.2,2.5,1.2,1.3,46.8,2.7,0.8,2,28.2,0.52
7,13,"Jalen Reed","LSU Tigers",32,5,100,4.2,0.849,4.2,1.5,2.7,36.6,45.9,11.3,5.7,0.12,5.7,34.6,2.1,0.8,1.3,35.8,2.1,0.8,1.3,37.3,0.5
8,1,"Carlos Stewart","LSU Tigers",13,5.5,100,4.5,0.817,4.6,1.6,3,35,44.2,9.9,5.6,0.13,4.2,35.2,2.2,0.8,1.4,35.7,2.5,0.8,1.6,34.4,0.53
9,9,"Will Baker","LSU Tigers",33,3.2,100,2.5,0.766,2.8,0.8,1.9,30.4,37,7.5,8.4,0.18,8.4,32.7,1.8,0.5,1.3,26.7,1,0.4,0.6,37.5,0.35
10,5,"Mwani Wilkinson","LSU Tigers",27,3.3,100,2.4,0.742,2.5,0.7,1.8,26.9,33.6,11.2,14.6,0.39,11.2,33.7,1,0.3,0.7,33.3,1.5,0.3,1.1,22.5,0.6
11,6,"Jordan Wright","LSU Tigers",33,9,100,6.3,0.704,6.9,2.2,4.8,31,38.2,15.5,8.1,0.2,6.4,30.3,3.1,1.2,2,36.9,3.8,1,2.8,26.2,0.55
12,10,"Daimion Collins","LSU Tigers",6,3.5,100,1.7,0.476,2.7,0.5,2.2,18.8,25,19,4.8,0.13,0,19,0.3,0.2,0.2,50,2.3,0.3,2,14.3,0.88
