sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,55,"Jalen Harper","Auburn Tigers",12,0.8,100,0.3,0.4,0.8,0.2,0.7,20,20,0,0,0,0,20,0.6,0.2,0.4,28.6,0.3,0,0.3,0,0.3
2,21,"Blake Muschalek","Auburn Tigers",14,0.8,100,0.6,0.727,0.2,0,0.2,0,0,9.1,63.6,4.33,9.1,54.5,0.2,0,0.2,0,0,0,0,,0
3,1,"Aden Holloway","Auburn Tigers",35,9.1,100,7.3,0.808,7.5,2.3,5.1,31.3,41.2,9.7,8.5,0.2,6,33,2.5,0.9,1.6,34.5,5,1.5,3.5,29.7,0.67
4,0,"K.D. Johnson","Auburn Tigers",35,7.9,100,7.1,0.896,6,2.3,3.8,37.4,43.6,11.2,16.5,0.4,14,41,3.3,1.5,1.7,46.5,2.8,0.7,2,26.8,0.46
5,3,"Tre Donaldson","Auburn Tigers",35,7.2,100,6.6,0.924,5.4,2.5,2.9,46.6,53.7,18.3,9.2,0.2,7.2,40.2,3.5,1.7,1.7,50,1.9,0.8,1.1,40.3,0.35
6,5,"Chris Moore","Auburn Tigers",34,2.7,100,2.5,0.934,1.9,0.9,0.9,49.2,54,19.8,13.2,0.35,7.7,44,1.2,0.7,0.5,61,0.6,0.2,0.5,27.3,0.35
7,31,"Chaney Johnson","Auburn Tigers",35,4.9,100,4.8,0.977,3.6,1.9,1.8,51.2,55.1,16.8,13.9,0.31,11.6,45.7,2.7,1.6,1.1,59.1,1,0.3,0.7,29.4,0.27
8,24,"Lior Berman","Auburn Tigers",28,1.6,100,1.7,1.043,1.2,0.6,0.6,47.1,55.9,10.9,17.4,0.44,13,47.8,0.6,0.4,0.3,55.6,0.6,0.2,0.4,37.5,0.47
9,10,"Chad Baker-Mazara","Auburn Tigers",35,9.2,100,9.8,1.065,6.6,2.9,3.7,44.6,52.8,12.1,18,0.49,11.8,47.5,3.9,1.9,2,47.8,2.7,1.1,1.6,40,0.41
10,4,"Johni Broome","Auburn Tigers",35,15.3,100,16.4,1.071,11.3,6.2,5.1,54.7,58.2,10.3,19.8,0.46,15.5,53,9.1,5.4,3.7,59.6,2.3,0.8,1.5,35,0.2
11,12,"Denver Jones","Auburn Tigers",35,8.3,100,9,1.087,6.4,2.8,3.6,44,55.3,11.1,14.9,0.34,12.1,45,2.9,1.4,1.6,46.6,3.5,1.5,2,41.8,0.54
12,44,"Dylan Cardwell","Auburn Tigers",35,4.5,100,5.2,1.153,2.9,2.1,0.9,70.6,71.6,16.6,22.3,0.6,15.3,59.2,2.8,2,0.8,72.2,0.1,0.1,0.1,40,0.05
13,2,"Jaylin Williams","Auburn Tigers",34,10.3,100,12.3,1.201,7.8,4.5,3.4,57.1,63.3,11.5,16.6,0.38,12.3,55.3,5.3,3.5,1.8,66.1,2.5,1,1.6,38.4,0.32
