sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,12,"Matthew-Alexander Moncrieffe","Georgia Bulldogs",15,2.6,100,1.1,0.436,1.3,0.3,0.9,26.3,26.3,30.8,20.5,0.79,15.4,28.2,1.3,0.3,0.9,26.3,0,0,0,,0
2,11,"Justin Hill","Georgia Bulldogs",37,11.2,100,9.5,0.851,8.3,3.1,5.2,37.8,44.1,13.5,15.9,0.38,11.1,38.3,5.1,2.1,3.1,40.5,3.2,1.1,2.1,33.3,0.38
3,4,"Silas Demary Jr","Georgia Bulldogs",37,11.1,100,9.6,0.868,7.1,3,4.1,42,45.8,16.6,22,0.61,12.4,43.4,5.4,2.5,2.9,46,1.8,0.5,1.2,30.3,0.25
4,23,"Jalen DeLoach","Georgia Bulldogs",32,4.1,100,3.6,0.871,2.6,1.4,1.2,54.8,54.8,25,15.2,0.42,12.1,44.7,2.6,1.4,1.2,54.8,0,0,0,,0
5,54,"Russel Tchewa","Georgia Bulldogs",36,8.3,100,7.4,0.902,4.9,2.7,2.2,54.8,54.8,23.2,19.9,0.62,18.5,47.8,4.9,2.7,2.2,55.1,0,0,0,0,0.01
6,13,"Dylan James","Georgia Bulldogs",22,4.4,100,4,0.907,3.4,1.6,1.8,46.7,54.7,15.5,8.2,0.17,6.2,40.2,2,1,1,52.3,1.4,0.5,0.9,38.7,0.41
7,0,"Blue Cain","Georgia Bulldogs",37,7.9,100,7.5,0.939,6.9,2.8,4.1,40.8,50.6,9.2,5.4,0.11,3.4,39.1,3.1,1.5,1.6,47.8,3.8,1.4,2.5,35.2,0.56
8,15,"RJ Melendez","Georgia Bulldogs",36,10,100,9.6,0.958,7.8,3.5,4.3,44.5,50.7,13.1,10.6,0.25,8.3,42.8,4.5,2.5,2,55.2,3.3,1,2.3,29.7,0.42
9,10,"RJ Sunshara","Georgia Bulldogs",16,2.1,100,2,0.97,1.3,0.8,0.5,61.9,66.7,27.3,9.1,0.29,9.1,48.5,1.1,0.7,0.4,61.1,0.2,0.1,0.1,66.7,0.14
9,3,"Noah Thomasson","Georgia Bulldogs",37,13.5,100,13.1,0.97,11.7,4.8,6.9,40.9,50.1,5.8,8.2,0.19,6.4,41.2,5.4,2.6,2.8,48.7,6.3,2.2,4.2,34.2,0.54
11,1,"Jabri Abdur-Rahim","Georgia Bulldogs",29,11.2,100,12.1,1.083,8.3,3,5.3,36.3,49.2,9.3,19.8,0.54,15.4,43.2,2.2,0.9,1.4,38.5,6,2.1,3.9,35.4,0.73
12,5,"Frank Anselem","Georgia Bulldogs",29,2.3,100,2.6,1.104,1.5,0.9,0.6,62.8,62.8,13.4,25.4,0.74,19.4,59.7,1.5,0.9,0.6,62.8,0,0,0,,0
